Sr,Title,Name as per Document (e.g. Leaving Certificate),Birth Date,Student Status,Application No.,Institute,Course,Program,Admission Quota,Student Phone 1,Student Phone 2,Whatsapp No.,Email,Email Alternate,Emergency Contact No.,Father Mobile No.,Mother Mobile No.,Guardian Mobile No.,Aadhaar Card No.
7590,Dr,Khushi Salvi,10-03-1999,Provisionally Admitted,25UG318091,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,6041554339,7625108410,6041554339,yashvi86@mangal.net,mishasodhi@yahoo.com,1574528894,7417681504,2552245725,2134321311,2.02754E+11
7591,Ms,Saira Dara,26-01-2003,Duplicate,25PG781088,Centre for Distance and Online Education,MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,967654851,422553072,967654851,mehulbajaj@hotmail.com,sairasaha@yahoo.com,6590059684,4171618483,6197368137,6688923340,2.7473E+11
7592,Mrs,Diya Sant,09-12-1972,Duplicate,25PG514598,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,4575043700,8420009813,4575043700,jsastry@hotmail.com,lakshayganesan@chatterjee.net,8495623595,6193984273,2783963218,705437513,5.0938E+11
7593,Mr,Ivan Loyal,10-03-1984,Provisionally Admitted,25PG826996,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,764735905,1957434809,764735905,chopraranbir@hotmail.com,mandalinaaya@wadhwa-gill.net,6639355758,8352560414,5778134750,457678495,3.96531E+11
7594,Ms,Nirvi Viswanathan,10-03-1978,Provisionally Admitted,25UG797075,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,1300195509,1179794236,1300195509,ldalal@hotmail.com,neysatripathi@vig.com,93032248,9402500504,3745678196,9236201931,2.03465E+11
7595,Miss,Kiaan Bhargava,16-05-1991,Duplicate,25UG649680,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,1125736383,9995602778,1125736383,tarandhawan@yahoo.com,manikya05@gmail.com,9087504994,6262376497,1454884259,2333412291,3.80735E+11
7596,Dr,Krish Sahota,16-09-1972,Provisionally Admitted,25UG282455,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,4518193717,7404012942,4518193717,ela86@chaudhuri.com,shray77@sule-vora.com,6677026001,9305236892,7335871777,7809455133,8.69956E+11
7597,Ms,Madhav Shan,24-06-1994,Provisionally Admitted,25UG616073,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,703828611,1713629593,703828611,lakshay13@basu.com,mishaagrawal@hotmail.com,5696656013,2112734375,7132902389,2039356082,9.3088E+11
7598,Miss,Pihu Tella,07-07-2000,Duplicate,25PG322033,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,3727852825,5058057497,3727852825,shaan44@venkatesh.com,farhan51@hotmail.com,2602096760,563838979,1127362286,5409826321,6.94019E+11
7599,Dr,Ayesha Vora,21-10-1995,Duplicate,25PG788510,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,2471720721,9864601510,2471720721,daramehul@deep.com,qraj@mani.net,9127009186,540632235,6488112832,4790890976,5.78887E+11
7600,Miss,Mamooty Raval,21-10-2004,Duplicate,25UG799668,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,5788670786,6196329203,5788670786,lalltejas@hotmail.com,zjhaveri@hotmail.com,4640326374,6225164393,7084423419,2884690471,2.60763E+11
7601,Mrs,Neysa Sampath,21-06-1976,Provisionally Admitted,25UG891551,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,2919141316,4047852631,2919141316,bshankar@bajwa-batta.com,kaledharmajan@gour-yogi.com,4408420931,4437769408,2502231408,3048481679,2.24719E+11
7602,Ms,Uthkarsh Agate,21-10-2007,Provisionally Admitted,25UG987409,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,3424104530,2980595327,3424104530,ratiganguly@butala.com,guhamyra@varghese.com,3721206728,1538832832,1697077994,5705221767,1.13866E+11
7603,Mr,Rania Ganguly,10-09-1983,Duplicate,25UG315421,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,5405432948,6568303717,5405432948,yakshittella@yahoo.com,catwal@rajan.com,1978117582,4889979748,4969078262,2963227794,6.22162E+11
7604,Mrs,Onkar Bal,29-04-1974,Duplicate,25PG901079,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,299101373,8972243719,299101373,ranbir29@aggarwal.com,lallaprerak@hayer.com,5617317973,5645987857,4659085432,1260271724,2.25617E+11
7605,Miss,Prerak Ahuja,09-12-2005,Duplicate,25PG860392,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,3627119607,14611396,3627119607,mallraghav@shankar-boase.info,aaggarwal@gmail.com,4908570003,9013409235,8153581440,3676426724,4.97717E+11
7606,Ms,Shanaya D’Alia,04-06-1997,Duplicate,25PG303723,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,4960054574,2106023596,4960054574,irajan@gour-uppal.info,srinivasanbhavin@gupta-agate.com,3148021254,8815287755,1650080396,220910813,4.14517E+11
7607,Miss,Siya Rattan,07-09-1987,Provisionally Admitted,25UG305467,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,1553818807,7988969535,1553818807,amira90@gaba.com,ishita69@badal.info,6191514227,8616700600,7350657234,6224875608,3.35918E+11
7608,Mr,Sahil Chawla,12-05-1982,Provisionally Admitted,25UG628203,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,7384196170,2347501937,7384196170,ivanasundaram@yahoo.com,jaggipranay@bera-khare.net,2913875564,6065510373,6872398274,9599419736,3.28241E+11
7609,Mr,Kabir Sarin,02-10-1998,Provisionally Admitted,25PG353265,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Lumpsum,4674801140,43485479,4674801140,tiyagoda@manda-reddy.info,bobalsaira@hotmail.com,6558855570,5468847571,6716493005,1021907616,2.92533E+11
7610,Ms,Jiya Garg,29-07-2005,Duplicate,25UG345759,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,6988457131,3575844752,6988457131,ehsaandhar@hotmail.com,omani@yahoo.com,3854601335,1851379028,5837871554,7486090660,9.0596E+11
7611,Ms,Nehmat Chaudhuri,31-07-1974,Duplicate,25PG286643,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,9805344786,158982282,9805344786,ogala@bassi.com,kismatsoni@hotmail.com,152367638,1837231239,4701709859,1057897874,1.70043E+11
7612,Dr,Dharmajan Ghose,01-05-2001,Provisionally Admitted,25UG646305,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,6083730503,2262773939,6083730503,tshankar@hotmail.com,samiha09@gmail.com,1327709709,7402063890,6816096808,6156844607,3.96681E+11
7613,Miss,Farhan Randhawa,07-08-2002,Provisionally Admitted,25UG434479,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Installment,7347153853,1032341584,7347153853,myrathaman@dara.biz,singhshalv@hotmail.com,1163765957,8684898584,6094216207,6422384243,1.61202E+11
7614,Mrs,Prerak Sandhu,20-02-1974,Provisionally Admitted,25PG167688,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,37825652,4596667048,37825652,amammen@yahoo.com,gbail@kalla.com,6024294780,1124014726,3590102257,2809940046,3.62346E+11
7615,Ms,Tushar Dara,14-07-1993,Provisionally Admitted,25PG191429,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,7540928517,1690868500,7540928517,khalsaadvika@dora.biz,mammenkaira@rout.com,2492795596,7320043839,9256022784,6101349733,8.4299E+11
7616,Mrs,Ivan Ben,01-11-1981,Provisionally Admitted,25PG891008,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,6855006641,6347853038,6855006641,bswaminathan@mani.com,mishti50@desai-suresh.biz,2232820561,7018633268,4325794047,1038298508,1.5931E+11
7617,Dr,Yakshit Savant,29-06-1983,Provisionally Admitted,25PG440592,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,5639640194,1567736932,5639640194,fsamra@balasubramanian-chhabra.com,ggoswami@ratti-randhawa.com,3799272031,4092013032,2360816510,8459757668,1.23816E+11
7618,Mr,Akarsh Sama,06-11-1971,Duplicate,25UG501069,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,9263621463,8761560397,9263621463,ayesha68@salvi.org,pranaythaker@grover-gupta.org,5698578123,2970745465,1389268972,8569809597,9.24519E+11
7619,Dr,Reyansh Bhandari,08-10-2001,Provisionally Admitted,25UG776688,Centre for Distance and Online Education,MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,8839937423,6827333010,8839937423,siya30@gmail.com,keervanya@srinivasan-ravi.info,2650783509,8247824142,8625964254,302920684,7.35952E+11
7620,Dr,Hridaan Virk,24-09-1980,Duplicate,25UG507745,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,4864527299,1292874089,4864527299,batrasahil@hotmail.com,hdevan@mani.com,3099428831,1280458738,8847821961,6398538056,3.2777E+11
7621,Mrs,Chirag Khurana,19-08-1995,Provisionally Admitted,25PG299138,Centre for Distance and Online Education,MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,9952744154,4298843320,9952744154,singhalvardaniya@gill-sur.com,charvitoor@gmail.com,921028580,4860782595,3044122022,3224512824,2.48883E+11
7622,Ms,Anay Chandran,17-12-1975,Provisionally Admitted,25UG191510,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,4674148731,8271677470,4674148731,anya35@goda.com,anahita23@thakkar.net,2479514079,2064999391,1750850712,3031372314,7.26224E+11
7623,Ms,Saanvi Dasgupta,23-10-1974,Duplicate,25UG312220,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,9632851130,5402957911,9632851130,saragara@hotmail.com,gbhatnagar@chacko.com,1482402605,753565823,156139339,3374366397,5.97604E+11
7624,Miss,Sana Sem,15-07-1974,Provisionally Admitted,25PG662377,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,2194643507,2600467180,2194643507,biswasdarshit@yahoo.com,drishyaedwin@gmail.com,6772426687,4202970388,8370254136,2548090888,9.42008E+11
7625,Mr,Reyansh Bandi,06-07-1982,Duplicate,25PG411780,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Installment,2975394945,4717294041,2975394945,balasubramaniansamar@agarwal-bora.com,tiyabala@chada-wason.org,6358924515,1329529212,7109990611,2569042237,3.54048E+11
7626,Mrs,Kiaan Badal,18-04-1999,Provisionally Admitted,25PG289132,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,3606950853,6071926664,3606950853,saxenaanahi@hotmail.com,hunarrastogi@gmail.com,1745882669,3904668599,7511782199,6945991183,6.6816E+11
7627,Mrs,Heer Contractor,03-06-1993,Provisionally Admitted,25UG624777,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,1026599811,1678767585,1026599811,kuruvilladivit@gmail.com,vedika00@walia.com,1631103615,6272636470,3526981818,6788726218,1.13292E+11
7628,Miss,Azad Bora,15-06-1985,Provisionally Admitted,25UG203544,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,8153288589,4625821708,8153288589,tusharkrishnan@sarraf.com,dharmajandixit@ganesan.com,5041596014,8483133415,5470422942,1573742940,5.29092E+11
7629,Mrs,Anika Sheth,11-01-1976,Provisionally Admitted,25PG707713,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,9386236765,1437559341,9386236765,aarna52@karnik.net,bhagatrhea@sawhney-raj.net,4043991131,7860123821,8295852541,3356765250,1.02787E+11
7630,Miss,Vardaniya Sarkar,23-11-1983,Duplicate,25UG720047,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,5967710663,5363847448,5967710663,uppalmisha@bajaj.com,tankpranay@yahoo.com,7816254921,6950630492,1331323493,5178380558,4.46346E+11
7631,Dr,Tushar Kamdar,25-10-1994,Duplicate,25PG767556,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,5160887444,6818313491,5160887444,aniruddhbuch@lal-bhagat.com,chadhaadvika@yahoo.com,1276037528,5174259780,1873862888,1719128006,5.62063E+11
7632,Ms,Dishani Karnik,13-04-2001,Duplicate,25PG590271,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,4960761821,1884815994,4960761821,raghav49@tiwari.org,lakshitbhavsar@yahoo.com,8897360479,9890593256,4600371193,9480937414,5.70795E+11
7633,Miss,Anahi Yadav,02-03-1992,Provisionally Admitted,25UG996390,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,8216666250,16980118,8216666250,tjha@hotmail.com,urvi34@yahoo.com,5338866349,7828603321,2220233014,2588576881,9.49805E+11
7634,Miss,Anaya Bumb,05-01-1980,Duplicate,25PG313514,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,727498526,9850604504,727498526,eva61@hotmail.com,qhalder@hotmail.com,6378950078,8515588224,8301535671,7506511305,2.26231E+11
7635,Miss,Alia Goswami,27-01-2002,Provisionally Admitted,25PG193805,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,9996053528,1191800830,9996053528,gjhaveri@yahoo.com,bbasak@bajwa-sami.com,4887416549,6636953890,1423232384,3597430325,7.97336E+11
7636,Mr,Akarsh Thakur,12-04-1981,Provisionally Admitted,25UG634347,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,8937249957,4169832311,8937249957,elakshiborah@hotmail.com,ekoshy@yahoo.com,8069249179,5504094131,4470681468,1363792800,6.61553E+11
7637,Ms,Hrishita Bhatt,22-08-1982,Duplicate,25PG141994,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Installment,8643477376,2219857065,8643477376,mishabail@yahoo.com,branganathan@iyer.com,1539725763,4085393052,5945452019,9001305890,9.49458E+11
7638,Dr,Rasha Lad,17-05-1995,Duplicate,25PG360284,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,5106044224,8351424866,5106044224,prerak36@gmail.com,erastogi@wagle-gulati.com,6090899688,585837545,6718530181,5740066241,3.59824E+11
7639,Mrs,Divyansh Samra,14-05-1988,Duplicate,25PG746681,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,1655097297,5075205092,1655097297,vsane@gmail.com,mannatkhalsa@som.info,8859460877,6634388103,7142526386,7958907570,9.74972E+11
7640,Mrs,Indrans Devi,16-01-1980,Duplicate,25UG755887,Centre for Distance and Online Education,MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,8739809708,9781580631,8739809708,dugardishani@golla.info,varmalakshay@saha.com,1856232757,1166705677,954220133,5324747984,7.38095E+11
7641,Miss,Romil Bava,25-04-1974,Provisionally Admitted,25UG142201,Centre for Distance and Online Education,MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,7425088629,2716186101,7425088629,ysarin@chahal.org,pihughose@hayre-shetty.info,4375630509,4735991878,9269769483,907011394,6.11661E+11
7642,Mrs,Seher Chopra,11-10-1988,Provisionally Admitted,25PG707358,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,3256263632,4285504341,3256263632,shloksur@devi-gaba.org,gsuri@hotmail.com,7509832729,5569096472,5703134665,7155146452,3.10747E+11
7643,Mr,Jayant Tank,11-02-2001,Provisionally Admitted,25UG213718,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Installment,8452790697,1710156377,8452790697,shalv74@hotmail.com,prisha56@karpe.com,3947135359,2991022042,3869006366,746020084,3.72059E+11
7644,Mr,Saanvi Keer,14-01-2005,Duplicate,25PG634986,Centre for Distance and Online Education,MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,2373121003,7821593109,2373121003,darshit19@yadav-sethi.info,tvenkatesh@gala.net,895722293,5212643418,8764726651,9981027307,2.39044E+11
7645,Ms,Uthkarsh Kakar,01-09-1993,Provisionally Admitted,25UG627304,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,3449131292,6446651976,3449131292,samiha07@choudhury.net,yohannananya@konda.com,4324387718,7495632474,1471380746,6390875467,9.36479E+11
7646,Dr,Elakshi Kade,24-11-1976,Duplicate,25PG213816,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,2335545592,7965670603,2335545592,shamiksankar@yahoo.com,anaya53@gmail.com,501650944,7312258942,3533439852,2715718359,8.29304E+11
7647,Mr,Elakshi Sachar,09-03-2000,Duplicate,25PG813339,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,323761211,4573958838,323761211,mamooty45@gmail.com,tiya76@kashyap.com,4659456209,85655373,426796201,52488918,6.15529E+11
7648,Miss,Ranbir Mannan,22-10-1976,Provisionally Admitted,25UG587684,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,442753623,7754260072,442753623,aarushbail@gmail.com,kkakar@singhal-kumer.biz,9618499698,4918108524,2485593417,5754533512,8.26947E+11
7649,Mr,Veer Boase,18-12-1975,Provisionally Admitted,25PG450131,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,9571404281,9239635826,9571404281,kapooraarav@yahoo.com,armaanmanne@vyas.com,2766916653,284461156,1610444504,8322530624,4.28573E+11
7650,Ms,Kaira Wadhwa,24-04-1997,Provisionally Admitted,25UG518045,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,7509425351,5549531481,7509425351,jcherian@viswanathan-shanker.com,uramakrishnan@choudhury-sem.net,8315827596,15829383,2903047638,3166641933,1.51836E+11
7651,Miss,Prisha Balakrishnan,05-10-1988,Provisionally Admitted,25UG480569,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,5196343094,5418104842,5196343094,takmadhav@dash.org,tanya14@gmail.com,4203660299,7747691723,9063988258,1256470336,4.12884E+11
7652,Miss,Taimur Gara,06-01-2001,Duplicate,25UG501528,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,8431959498,8341488512,8431959498,tarini99@yahoo.com,krishaarav@gmail.com,8021567339,9190126680,4446661056,9427443763,8.66582E+11
7653,Dr,Onkar Sandhu,15-12-1993,Duplicate,25PG932681,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,7133910194,6223441968,7133910194,lataseher@gmail.com,neelofar23@gmail.com,3470962971,6457964588,3925222226,7090565441,5.74248E+11
7654,Dr,Aaina Warrior,18-03-1989,Duplicate,25PG105251,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,4483005020,1894911698,4483005020,siyakothari@bhatti-shukla.com,gollajiya@gmail.com,5898951688,5880881758,7692100172,7922993502,1.2683E+11
7655,Dr,Shanaya Balasubramanian,01-11-1989,Provisionally Admitted,25UG585784,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,5706425241,9369989155,5706425241,kiara19@walia-dugar.com,ivan41@barad.com,5009072632,7602425250,7732328227,3717842649,4.74259E+11
7656,Mr,Mishti Dara,20-10-1971,Provisionally Admitted,25PG952865,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,23940267,7918551421,23940267,prerakbanik@yahoo.com,tanyababu@bora-upadhyay.com,4963712103,4865774895,4315522310,9193761599,3.57454E+11
7657,Dr,Hridaan Keer,01-02-2000,Provisionally Admitted,25PG366509,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,3448846372,186380191,3448846372,dwason@yahoo.com,qdave@devan-sarin.net,8035411212,5981428585,5343877623,7229658904,1.14823E+11
7658,Dr,Dhanuk Deshpande,25-06-1986,Duplicate,25PG389774,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,5330012715,5628594480,5330012715,suhana58@hayre.com,agarwalmohanlal@rajagopal.com,2805946164,3367093155,866451078,1901824003,8.7474E+11
7659,Ms,Nitya Thakkar,10-09-1997,Provisionally Admitted,25PG802118,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,5835988024,7277061272,5835988024,tvarma@gmail.com,hbalan@kibe.com,5669581054,900117098,4887187409,4812561904,9.73794E+11
7660,Dr,Anvi Wali,18-04-1994,Duplicate,25PG163875,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,4593327774,8632786694,4593327774,hunar81@gmail.com,dashsaksham@dewan-chacko.biz,8900891483,7776817002,4228785458,4250897222,2.09192E+11
7661,Mrs,Chirag Dewan,04-10-1985,Provisionally Admitted,25PG762817,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,8655814389,8951571940,8655814389,sharaftushar@lad.com,xsastry@sani.info,2877024346,2106510043,9887229188,3810195864,4.33422E+11
7662,Mr,Aniruddh Baria,06-08-1999,Provisionally Admitted,25PG528666,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,5329707040,497199612,5329707040,tejas32@bawa.com,shalv65@gmail.com,6776647746,4648392660,8176482652,7882864953,8.40507E+11
7663,Mrs,Dhruv Bahl,04-07-1970,Duplicate,25UG353857,Centre for Distance and Online Education,MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,2445369229,3385156203,2445369229,lankaanya@gmail.com,mrastogi@kalla-bahl.info,1530832482,8499325483,4905471371,8692107714,6.00443E+11
7664,Miss,Ivana Sani,08-03-2004,Provisionally Admitted,25PG639949,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,4478018429,9225680188,4478018429,ryanraj@barad.info,kismat13@gmail.com,9162295428,8144483104,2777268675,4727453071,2.08857E+11
7665,Mrs,Ayesha Yohannan,06-11-1996,Duplicate,25PG781591,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,7321819732,4373680860,7321819732,aayushjain@bava.org,ygokhale@bora.com,5891267111,3263712988,1966170063,1550050277,4.09724E+11
7666,Dr,Prisha Magar,21-02-1975,Provisionally Admitted,25PG726769,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,7093073301,1167351890,7093073301,riya27@tank.info,xchoudhury@gmail.com,5021485782,9598276963,9581131342,8874916503,3.10485E+11
7667,Ms,Mohanlal Bail,04-10-1986,Duplicate,25UG975427,Centre for Distance and Online Education,MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Installment,7289708644,1640854948,7289708644,rsampath@jha-vora.net,tarakumer@shukla.info,1469868313,7103153,1239258501,1562184447,1.07425E+11
7668,Dr,Rati Sur,20-04-1987,Duplicate,25UG974844,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,9801879759,9321177160,9801879759,ehsaan85@hotmail.com,hbandi@barad.com,3366564225,9800580091,1297326690,953757757,9.24069E+11
7669,Mr,Manikya Jani,21-03-1973,Duplicate,25PG899692,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Installment,5547424138,1687753597,5547424138,sastryvihaan@yahoo.com,ritviksolanki@hotmail.com,7750453808,4248008489,2166903011,4062006136,7.97999E+11
7670,Miss,Tiya Din,06-08-1995,Provisionally Admitted,25PG649850,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,8177046899,4904288375,8177046899,vbhalla@swaminathan.info,behlvedika@yahoo.com,108572480,3250685059,4791742537,7090998514,1.28162E+11
